premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context
Every professor shut the door.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every athlete put the book on the shelf.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every athlete cast bronze into a statue.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every singer put on a jacket.	There was at least one singer.	strong	real	unembedded	positive	every	neutral
Every kid slit the envelope.	There was at least one kid.	strong	real	unembedded	positive	every	neutral
Every student thrust the fork into the cake.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every student put on a jacket.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every girl upset the boat.	There was at least one girl.	strong	real	unembedded	positive	every	neutral
Every worker burst into the room.	There was at least one worker.	strong	real	unembedded	positive	every	neutral
Every director shut the door.	There was at least one director.	strong	real	unembedded	positive	every	neutral
Every actor hurt others.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every professor hit the lights.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every engineer upset the boat.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every kid upset the boat.	There was at least one kid.	strong	real	unembedded	positive	every	neutral
Every doctor hurt others.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every athlete hit the lights.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every doctor hit the lights.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every doctor cast bronze into a statue.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every athlete shut the door.	There was at least one athlete.	strong	real	unembedded	positive	every	neutral
Every doctor cast bronze into a statue.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every doctor hurt others.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every actor thrust the fork into the cake.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every doctor hit the lights.	There was at least one doctor.	strong	real	unembedded	positive	every	neutral
Every actor let the dog in.	There was at least one actor.	strong	real	unembedded	positive	every	neutral
Every teacher cut the ribbon.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every kid put the book on the shelf.	There was at least one kid.	strong	real	unembedded	positive	every	neutral
Every engineer cut the ribbon.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every boy cut the ribbon.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
Every student spread the rumor.	There was at least one student.	strong	real	unembedded	positive	every	neutral
Every teacher put on a jacket.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every teacher let the dog in.	There was at least one teacher.	strong	real	unembedded	positive	every	neutral
Every assistant cast bronze into a statue.	There was at least one assistant.	strong	real	unembedded	positive	every	neutral
Every professor broadcast the message.	There was at least one professor.	strong	real	unembedded	positive	every	neutral
Every engineer spread the rumor.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every engineer cast bronze into a statue.	There was at least one engineer.	strong	real	unembedded	positive	every	neutral
Every boy hit the gong.	There was at least one boy.	strong	real	unembedded	positive	every	neutral
