premise	hypothesis	label	noun_category	environment	hypothesis_polarity
The professors shut the door.	The professors shut the door.	entailment	real	unembedded	positive
The athletes put the book on the shelf.	The athletes put the book on the shelf.	entailment	real	unembedded	positive
The athletes cast bronze into a statue.	The athletes cast bronze into a statue.	entailment	real	unembedded	positive
The singers put on a jacket.	The singers put on a jacket.	entailment	real	unembedded	positive
The kids slit the envelope.	The kids slit the envelope.	entailment	real	unembedded	positive
The students thrust the fork into the cake.	The students thrust the fork into the cake.	entailment	real	unembedded	positive
The students put on a jacket.	The students put on a jacket.	entailment	real	unembedded	positive
The girls upset the boat.	The girls upset the boat.	entailment	real	unembedded	positive
The workers burst into the room.	The workers burst into the room.	entailment	real	unembedded	positive
The directors shut the door.	The directors shut the door.	entailment	real	unembedded	positive
The actors hurt others.	The actors hurt others.	entailment	real	unembedded	positive
The professors hit the lights.	The professors hit the lights.	entailment	real	unembedded	positive
The engineers upset the boat.	The engineers upset the boat.	entailment	real	unembedded	positive
The kids upset the boat.	The kids upset the boat.	entailment	real	unembedded	positive
The doctors hurt others.	The doctors hurt others.	entailment	real	unembedded	positive
The athletes hit the lights.	The athletes hit the lights.	entailment	real	unembedded	positive
The doctors hit the lights.	The doctors hit the lights.	entailment	real	unembedded	positive
The doctors cast bronze into a statue.	The doctors cast bronze into a statue.	entailment	real	unembedded	positive
The athletes shut the door.	The athletes shut the door.	entailment	real	unembedded	positive
The doctors cast bronze into a statue.	The doctors cast bronze into a statue.	entailment	real	unembedded	positive
The doctors hurt others.	The doctors hurt others.	entailment	real	unembedded	positive
The actors thrust the fork into the cake.	The actors thrust the fork into the cake.	entailment	real	unembedded	positive
The doctors hit the lights.	The doctors hit the lights.	entailment	real	unembedded	positive
The actors let the dog in.	The actors let the dog in.	entailment	real	unembedded	positive
The teachers cut the ribbon.	The teachers cut the ribbon.	entailment	real	unembedded	positive
The kids put the book on the shelf.	The kids put the book on the shelf.	entailment	real	unembedded	positive
The engineers cut the ribbon.	The engineers cut the ribbon.	entailment	real	unembedded	positive
The boys cut the ribbon.	The boys cut the ribbon.	entailment	real	unembedded	positive
The students spread the rumor.	The students spread the rumor.	entailment	real	unembedded	positive
The teachers put on a jacket.	The teachers put on a jacket.	entailment	real	unembedded	positive
The teachers let the dog in.	The teachers let the dog in.	entailment	real	unembedded	positive
The assistants cast bronze into a statue.	The assistants cast bronze into a statue.	entailment	real	unembedded	positive
The professors broadcast the message.	The professors broadcast the message.	entailment	real	unembedded	positive
The engineers spread the rumor.	The engineers spread the rumor.	entailment	real	unembedded	positive
The engineers cast bronze into a statue.	The engineers cast bronze into a statue.	entailment	real	unembedded	positive
The boys hit the gong.	The boys hit the gong.	entailment	real	unembedded	positive
The doctors hit the ball.	The doctors hit the ball.	entailment	real	unembedded	positive
The engineers let the dog in.	The engineers let the dog in.	entailment	real	unembedded	positive
The assistants hit the ball.	The assistants hit the ball.	entailment	real	unembedded	positive
The teachers put on a jacket.	The teachers put on a jacket.	entailment	real	unembedded	positive
The boys hit the ball.	The boys hit the ball.	entailment	real	unembedded	positive
The students put the book on the shelf.	The students put the book on the shelf.	entailment	real	unembedded	positive
The doctors set the table.	The doctors set the table.	entailment	real	unembedded	positive
The actors cut the ribbon.	The actors cut the ribbon.	entailment	real	unembedded	positive
The engineers cast bronze into a statue.	The engineers cast bronze into a statue.	entailment	real	unembedded	positive
The boys put the book on the shelf.	The boys put the book on the shelf.	entailment	real	unembedded	positive
The professors upset the boat.	The professors upset the boat.	entailment	real	unembedded	positive
The doctors burst into the room.	The doctors burst into the room.	entailment	real	unembedded	positive
The girls slit the envelope.	The girls slit the envelope.	entailment	real	unembedded	positive
The students spread the rumor.	The students spread the rumor.	entailment	real	unembedded	positive
The kids broadcast the message.	The kids broadcast the message.	entailment	real	unembedded	positive
The workers read the letter.	The workers read the letter.	entailment	real	unembedded	positive
The engineers broadcast the message.	The engineers broadcast the message.	entailment	real	unembedded	positive
The professors cast bronze into a statue.	The professors cast bronze into a statue.	entailment	real	unembedded	positive
The engineers read the letter.	The engineers read the letter.	entailment	real	unembedded	positive
The singers hit the lights.	The singers hit the lights.	entailment	real	unembedded	positive
The professors hit the gong.	The professors hit the gong.	entailment	real	unembedded	positive
The doctors upset the boat.	The doctors upset the boat.	entailment	real	unembedded	positive
The students put on a jacket.	The students put on a jacket.	entailment	real	unembedded	positive
The doctors spread the rumor.	The doctors spread the rumor.	entailment	real	unembedded	positive
The students slit the envelope.	The students slit the envelope.	entailment	real	unembedded	positive
The students hurt others.	The students hurt others.	entailment	real	unembedded	positive
The actors broadcast the message.	The actors broadcast the message.	entailment	real	unembedded	positive
The athletes hurt others.	The athletes hurt others.	entailment	real	unembedded	positive
The assistants burst into the room.	The assistants burst into the room.	entailment	real	unembedded	positive
The actors cut the ribbon.	The actors cut the ribbon.	entailment	real	unembedded	positive
The singers set the table.	The singers set the table.	entailment	real	unembedded	positive
The engineers hit the lights.	The engineers hit the lights.	entailment	real	unembedded	positive
The workers upset the boat.	The workers upset the boat.	entailment	real	unembedded	positive
The assistants thrust the fork into the cake.	The assistants thrust the fork into the cake.	entailment	real	unembedded	positive
The singers hurt others.	The singers hurt others.	entailment	real	unembedded	positive
The directors shut the door.	The directors shut the door.	entailment	real	unembedded	positive
