premise	hypothesis	determiner_type	noun_category	environment	hypothesis_polarity	determiner	context	context_label
According to folklore, goblins once roamed the lands freely. Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, goblins were never real. Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	anti
Every goblin hurt others.	There was at least one goblin.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid thrust the fork into the cake.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid thrust the fork into the cake.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
Every mermaid thrust the fork into the cake.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, trolls once roamed the lands freely. Every troll put the book on the shelf.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, trolls were never real. Every troll put the book on the shelf.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	anti
Every troll put the book on the shelf.	There was at least one troll.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie put on a jacket.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie put on a jacket.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie put on a jacket.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, zombies once roamed the lands freely. Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, zombies were never real. Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	anti
Every zombie thrust the fork into the cake.	There was at least one zombie.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, dragons once roamed the lands freely. Every dragon read the letter.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, dragons were never real. Every dragon read the letter.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	anti
Every dragon read the letter.	There was at least one dragon.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, centaurs once roamed the lands freely. Every centaur cut the ribbon.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, centaurs were never real. Every centaur cut the ribbon.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	anti
Every centaur cut the ribbon.	There was at least one centaur.	strong	unreal	unembedded	positive	every	neutral	neutral
According to folklore, mermaids once roamed the lands freely. Every mermaid put on a jacket.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	pro
According to historical records, mermaids were never real. Every mermaid put on a jacket.	There was at least one mermaid.	strong	unreal	unembedded	positive	every	neutral	anti
